Año;Mes;ADR (pesos chilenos corrientes);Pernoctaciones;IPC;Valor dólar a CLP
2017;Enero;48,583;2,263,041;114.49;661.19
2017;Febrero;53,735;2,175,450;114.76;643.21
2017;Marzo;44,481;1,498,991;115.2;661.2
2017;Abril;42,309;1,297,791;115.48;655.74
2017;Mayo;49,585;1,116,813;115.63;671.54
2017;Junio;56,996;1,060,769;115.18;665.15
2017;Julio;46,513;2,224,305;115.45;658.17
2017;Agosto;40,131;1,936,651;115.69;644.24
2017;Septiembre;48,333;1,838,911;115.51;625.54
2017;Octubre;44,106;2,116,498;116.19;629.55
2017;Noviembre;46,324;2,098,726;116.29;633.77
2017;Diciembre;46,192;2,050,862;116.46;636.92
2018;Enero;52,401;2,979,245;117;605.53
2018;Febrero;52,141;2,899,890;117.05;596.84
2018;Marzo;45,286;2,091,698;117.29;603.45
2018;Abril;44,489;1,788,254;117.66;600.55
2018;Mayo;48,740;1,548,074;117.99;626.12
2018;Junio;46,912;1,511,218;118.11;636.15
2018;Julio;46,010;2,043,558;118.53;652.41
2018;Agosto;44,898;1,792,100;118.73;656.25
2018;Septiembre;50,064;1,769,220;119.14;680.91
2018;Octubre;44,900;1,953,767;119.57;676.84
2018;Noviembre;45,002;2,197,026;119.57;677.61
2018;Diciembre;47,089;1,946,473;119.45;681.99
2019;Enero;51,757;2,694,768;100.75;677.06
2019;Febrero;55,971;2,753,916;100.79;656.3
2019;Marzo;49,872;1,987,670;101.27;667.68
2019;Abril;44,587;1,767,396;101.54;667.4
2019;Mayo;48,277;1,644,586;102.15;692
2019;Junio;44,261;1,543,169;102.2;692.41
2019;Julio;47,423;2,196,314;102.43;686.06
2019;Agosto;42,543;1,836,925;102.62;713.7
2019;Septiembre;46,084;1,750,935;102.63;718.44
2019;Octubre;40,740;1,678,572;103.47;721.03
2019;Noviembre;46,428;1,594,747;103.55;776.53
2019;Diciembre;46,762;1,714,383;103.66;770.39
2020;Enero;61,684;2,536,409;104.24;772.65
2020;Febrero;61,319;2,712,964;104.71;796.38
2020;Marzo;56,131;987,137;105.06;839.38
2020;Abril;40,182;150,924;105.01;853.38
2020;Mayo;37,789;186,463;104.96;821.81
2020;Junio;39,849;214,365;104.89;793.72
2020;Julio;37,575;208,336;104.99;784.73
2020;Agosto;38,363;261,842;105.13;784.66
2020;Septiembre;39,355;316,232;105.8;773.4
2020;Octubre;44.203;477,344;106.52;788.27
2020;Noviembre;43,797;631,214;106.38;762.88
2020;Diciembre;45,564;648,656;106.74;734.73
2021;Enero;47,707;923,131;107.49;723.56
2021;Febrero;50,493;1,074,483;107.69;722.63
2021;Marzo;46,393;728,016;108.09;726.37
2021;Abril;40,344;518,259;108.5;707.85
2021;Mayo;43,016;688,135;108.79;712.26
2021;Junio;44,269;751,572;108.88;726.54
2021;Julio;48,981;1,226,335;109.76;750.44
2021;Agosto;48,747;1,163,230;110.15;779.83
2021;Septiembre;49,841;1,263,705;111.45;783.63
2021;Octubre;51,923;1,323,789;112.94;813.95
2021;Noviembre;52,920;1,285,688;113.51;812.62
2021;Diciembre;56,680;1,278,578;114.39;849.12
2022;Enero;61,664;1,879,680;115.77;822.05
2022;Febrero;62,342;1,982,845;116.1;807.07
2022;Marzo;60,573;1,425,962;118.26;799.19
2022;Abril;60,230;1,287,281;119.91;815.12
2022;Mayo;57,785;1,290,431;121.35;849.39
2022;Junio;57,867;1,231,555;122.48;857.77
2022;Julio;67,564;1,676,192;124.16;953.71
2022;Agosto;66,719;1,398,486;125.67;904.35
2022;Septiembre;65,828;1,265,803;126.75;921.01
2022;Octubre;65,925;1,480,814;127.41;955.89
2022;Noviembre;67,659;1,481,248;128.65;917.05
2022;Diciembre;69,597;1,509,563;129.02;875.66
2023;Enero;72,758;2,006,338;130.05;826.34
2023;Febrero;75,023;2,079,095;129.97;798.26
2023;Marzo;73,168;1,596,202;131.38;809.5
2023;Abril;70,855;1,421,803;131.79;803.84
2023;Mayo;62,970;1,294,863;131.94;798.64
2023;Junio;62,004;1,294,930;131.74;799.87
2023;Julio;73,098;1,668,783;132.2;813.4
2023;Agosto;72,396;1,534,366;132.35;855.66
2023;Septiembre;69,300;1,428,576;133.24;884.4
